,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Latitude,Longitude,char_superhost,char_free_cancellation,char_fast_wifi,char_dedicated_workspace,char_great_location,char_furry_friends,char_highly_rated,char_self_check-in,char_great_check-in,char_remote_work
0,65.0,DoorMat#13 Black Mirror#Jacuzzi,2.0,1.0,1.0,1.0,0,0,4.0,20.0,Mario,40.6282,22.9523,0,0,0,0,1,0,0,1,1,0
1,55.0,"Elegant Suite In The Center, The Luxury Suites",4.0,2.0,1.0,1.0,0,0,4.0,81.0,Dimitris,40.63865,22.9376,0,1,0,0,0,0,0,1,1,0
2,29.0,"Waterfront #11Design- CozyCityCenter ""Try It Tiny""",2.0,1.0,1.0,1.0,0,1,4.0,551.0,Alexandra,40.6318,22.9417,1,1,0,0,0,0,0,1,0,0
3,40.0,Innovative Minimal Fresh suite in Ladadika,4.0,1.0,1.0,1.0,0,1,4.0,101.0,Innovation,40.63672,22.93779,1,1,0,0,0,0,0,1,0,0
4,57.0,* CK Modern Loft Near Seaside *,4.0,2.0,1.0,1.0,1,0,5.0,18.0,Κωνσταντίνος,40.6053,22.9537,0,0,0,0,0,0,1,1,1,0
5,46.0,ifestos By Socrates Junior Houses,3.0,1.0,1.0,1.0,0,1,,,Socrates Junior Houses,40.6431227,22.939386,1,1,0,0,0,0,0,1,0,0
6,117.0,Skyline Suite&Spa,3.0,1.0,1.0,1.0,1,1,5.0,37.0,Anastasios-Vasileios,40.6404933,22.9602335,1,0,0,0,1,0,0,0,1,0
7,40.0,Star View Suite,2.0,1.0,1.0,1.0,0,1,4.0,26.0,Xenia,40.6343,22.9464,1,0,0,0,1,0,0,1,0,0
8,89.0,Oasis - Luxurious studio in the heart of the city,3.0,2.0,1.0,1.0,1,1,5.0,55.0,Ioannis,40.6283,22.9482,1,0,0,0,1,0,0,0,0,1
9,36.0,Escape ... in style // Downtown Seaside Gate_301,2.0,1.0,1.0,1.0,0,1,4.0,340.0,Mike,40.63145,22.94071,0,1,1,0,0,0,0,1,0,0
10,95.0,Suite Blanche by Aristotelous Square,4.0,3.0,1.0,1.0,1,0,5.0,6.0,Evripidis,40.6324,22.942,0,1,1,0,0,0,0,1,0,0
11,65.0,URBAN SEASIDE STUDIO,5.0,2.0,1.0,1.0,1,1,4.0,301.0,Elina,40.6318,22.9417,1,1,0,0,0,0,0,1,0,0
12,103.0,City Center Luxury Penthouse,4.0,2.0,2.0,2.0,1,1,4.0,325.0,Mara,40.63666,22.94144,1,1,0,0,1,0,0,0,0,0
13,250.0,#Primavera: Seafront apt with White tower view,6.0,3.0,3.0,1.0,1,0,5.0,12.0,Halu!,40.62765,22.94725,0,1,0,1,1,0,0,0,0,0
14,243.0,Aria: Lux seafront apt with White Tower view,4.0,2.0,2.0,2.0,0,0,5.0,4.0,Halu!,40.626394,22.9485903,0,1,0,1,0,0,0,1,0,0
15,359.0,F & B Collection - Luxury Seafront 2 Bedroom Flat,4.0,2.0,2.0,2.0,1,0,5.0,6.0,Dimitris,40.6291439,22.9457213,0,0,0,0,1,0,0,0,1,0
16,88.0,Mandarin by halu! : Street view apt,2.0,1.0,1.0,1.0,0,0,5.0,8.0,Halu!,40.6287589,22.9450015,0,1,0,0,0,0,0,1,0,1
17,49.0,"Adelle Studio #31, The Luxury Suites",3.0,2.0,,1.0,0,0,4.0,43.0,The Luxury Suites,40.63775,22.93937,0,1,0,0,0,0,0,1,0,0
18,40.0,Welcome!,2.0,1.0,1.0,1.0,1,1,4.0,185.0,Danai,40.63188,22.94318,1,1,0,1,0,0,0,0,0,0
19,38.0,White tower city center loft 2,2.0,1.0,1.0,1.0,0,1,4.0,58.0,Hlias,40.6276,22.9494,1,0,0,0,0,0,0,1,0,1
20,50.0,G&G city center luxury studio 1-3 persons,3.0,2.0,1.0,1.0,1,1,4.0,27.0,Γεωργιος,40.6314,22.9427,1,0,0,0,0,0,0,1,0,1
