,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Latitude,Longitude,char_superhost,char_free_cancellation,char_fast_wifi,char_dedicated_workspace,char_great_location,char_furry_friends,char_highly_rated,char_self_check-in,char_great_check-in,char_remote_work,char_communication,char_park,char_experienced_host,municipality
286.0,88.0,Antony Luxury Suite in Thessaloniki,3.0,1.0,1.0,1.0,0,1,4.0,56.0,Evgenia,40.6688,22.9214,0,1,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
287.0,105.0,"Oasis Luxury detached House , hydromassage column",9.0,5.0,2.0,1.0,0,1,4.0,54.0,Evgenia,40.6691,22.9173,1,0,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
293.0,41.0,#3 Ioanna Apartments,5.0,3.0,1.0,1.0,0,1,4.0,35.0,Ioanna Apartments,40.67751,22.93477,0,1,0,0,0,1,0,1,0,0,0,0,0,Σταυρούπολη
295.0,42.0,#D Ioanna Apartments,4.0,2.0,1.0,1.0,0,1,4.0,16.0,Ioanna Apartments,40.6662,22.9039,0,1,0,0,0,1,0,0,0,1,0,0,0,Δημοτική Ενότητα Ευόσμου
297.0,40.0,#Ioanna Apartments |Terminal Station Nikopoli,4.0,2.0,1.0,1.0,0,1,4.0,52.0,Ioanna Apartments,40.6839,22.931,0,1,0,0,0,1,0,0,0,1,0,0,0,Σταυρούπολη
298.0,41.0,#1 Ioanna Apartments,4.0,2.0,1.0,1.0,1,1,4.0,49.0,Ioanna Apartments,40.67678,22.93546,1,0,0,1,0,1,0,0,0,0,0,0,0,Σταυρούπολη
299.0,58.0,modern&comfortable apartment  Euosmos Thessaloniki,3.0,3.0,2.0,1.0,1,1,4.0,38.0,Anastasia,40.66664,22.91616,0,1,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
302.0,55.0,2 Bedroom Apartment in Thessaloniki,4.0,2.0,2.0,1.0,0,1,4.0,48.0,Roman,40.65525,22.91951,1,1,0,0,0,0,0,1,0,0,0,0,0,
303.0,48.0,The traveler's house,4.0,1.0,1.0,1.0,0,0,4.01,1.76,Unlock,40.6765386,22.9060081,0,0,0,1,0,1,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
305.0,60.0,Sun City View,3.0,2.0,2.0,1.0,1,1,4.0,39.0,Angelos,40.6673,22.93403,1,0,0,0,0,0,0,0,1,0,0,0,0,Σταυρούπολη
