,_id,title,New,superhost,guest_favorite,total_rating,total_reviews,final_price_per_night,host_name,coordinates,off_region,search_region,d_aristotelous,d_subway,d_buses,telework,fast_wifi,arr_exp,location,check_in,exp_host,pets,com,cancel,parking,num_characteristics,beds,bathrooms,visitors,baths,bedrooms,studio,n_prop,page
41,6620394197d75a34a3e973bc,Despina Garden,False,True,True,"4,92",12,51.0,Despina,"40.6466,22.9255",Ksirokrini,Menemeni/Ampelokipoi,1.9776909929685302,0.3977909277724925,2.1315904793964613,False,False,True,False,False,False,False,False,True,False,3,2,0,3,1,1,False,11,2
42,6620394197d75a34a3e973bd,EN,True,False,False,"0,0",0,70.0,Basil,"40.6615,22.8991",Evosmos,Menemeni/Ampelokipoi,4.752949904228283,3.173354914480111,0.8363886040134294,False,False,False,False,False,False,False,False,True,True,2,2,0,3,1,1,False,12,2
43,6620394197d75a34a3e973be,Industrial Living# hostedDoorMat,True,False,False,"0,0",0,66.0,Constantine,"40.6466,22.9239",Ksirokrini,Menemeni/Ampelokipoi,2.08524258899708,0.5102997831682615,2.009087240496451,False,False,False,False,True,False,False,False,True,False,2,2,0,4,1,2,False,13,2
44,6620394197d75a34a3e973bf,Comfortable and relaxing apartment near the city center,False,True,False,"4,87",152,53.0,Army & all,"40.64672,22.93388",Ksirokrini,Menemeni/Ampelokipoi,1.5003081137737946,0.4746006888777207,2.787935287555837,False,False,False,False,True,False,False,False,True,True,3,3,0,5,1,2,False,14,2
45,6620394197d75a34a3e973c0,Forest House,False,False,False,"4,70",80,48.0,Dimitris,"40.67318,22.8942",Kordelio,Menemeni/Ampelokipoi,5.921134482173398,4.355753969399572,2.1990102374311506,False,False,True,False,False,False,False,True,True,False,3,2,0,5,1,1,False,15,2
46,6620394197d75a34a3e973c1,Classic apartment,False,False,False,"4,33",3,64.0,Panayiotis,"40.655,22.9169",Ampelokipoi-Menemeni,Menemeni/Ampelokipoi,3.138911112865704,1.572162925819759,1.222575375778124,False,False,False,False,True,False,False,False,True,True,3,3,0,4,1,1,False,16,2
47,6620394197d75a34a3e973c2,Villanova - Emerald Suite,False,True,False,"4,84",38,53.0,Polina,"40.64375,22.93328",Ksirokrini,Menemeni/Ampelokipoi,1.2761986383376656,0.35225635455066434,2.8602457633609055,False,False,True,False,False,False,False,False,True,False,3,3,0,6,1,2,False,17,2
48,6620394197d75a34a3e973c3,#3 Ioanna apartments,False,True,False,"4,74",35,44.0,IoannaApartments,"40.67751,22.93477",Stavroupoli,Menemeni/Ampelokipoi,4.727089094233784,3.715135412987715,3.7465132647874637,False,False,True,False,False,False,True,False,False,False,3,3,0,5,1,1,False,18,2
49,6620394197d75a34a3e973c4,#B~ Ioanna 's Apartments,False,True,False,"4,84",64,40.0,IoannaApartments,"40.66652,22.9036",Evosmos,Menemeni/Ampelokipoi,4.8369837718361275,3.2749373182525505,1.3496974482172388,False,False,False,False,True,False,True,False,True,False,3,2,0,4,1,1,False,4,2
50,6620394197d75a34a3e973c5,Modern diamond in the heart of Thessaloniki,True,True,False,"0,0",2,48.0,Innovation,"40.6469,22.9234",Ksirokrini,Menemeni/Ampelokipoi,2.1389805341765684,0.563447188907833,1.9566594723486137,False,False,False,False,True,False,False,False,True,False,3,1,0,4,1,1,False,5,2
